state_abv,state,city,airport_code,airport
CT,Connecticut,New Haven,HVN,Tweed-New Haven Airport
FL,Florida,Daytona Beach,DAB,Daytona Beach International Airport
FL,Florida,Fort Lauderdale,FLL,Fort Lauderdale–Hollywood International Airport
FL,Florida,Fort Myers,RSW,Southwest Florida International Airport
FL,Florida,Fort Walton Beach,VPS,Destin–Fort Walton Beach Airport / Eglin Air Force Base
FL,Florida,Gainesville,GNV,Gainesville Regional Airport
FL,Florida,Jacksonville,JAX,Jacksonville International Airport
FL,Florida,Key West,EYW,Key West International Airport
FL,Florida,Melbourne,MLB,Melbourne Orlando International Airport
FL,Florida,Miami,MIA,Miami International Airport
FL,Florida,Orlando,MCO,Orlando International Airport
FL,Florida,Panama City,ECP,Northwest Florida Beaches International Airport
FL,Florida,Pensacola,PNS,Pensacola International Airport
FL,Florida,Punta Gorda,PGD,Punta Gorda Airport
FL,Florida,Sanford,SFB,Orlando Sanford International Airport
FL,Florida,Sarasota,SRQ,Sarasota–Bradenton International Airport
FL,Florida,St. Petersburg,PIE,St. Pete–Clearwater International Airport
FL,Florida,Tallahassee,TLH,Tallahassee International Airport
FL,Florida,Tampa,TPA,Tampa International Airport
FL,Florida,Vero Beach,VRB,Vero Beach Regional Airport
FL,Florida,West Palm Beach,PBI,Palm Beach International Airport
GA,Georgia,Albany,ABY,Southwest Georgia Regional Airport
GA,Georgia,Atlanta,ATL,Hartsfield–Jackson Atlanta International Airport
GA,Georgia,Augusta,AGS,Augusta Regional Airport (Bush Field)
GA,Georgia,Brunswick,BQK,Brunswick Golden Isles Airport
GA,Georgia,Columbus,CSG,Columbus Airport
GA,Georgia,Macon,MCN,Middle Georgia Regional Airport
GA,Georgia,Savannah,SAV,Savannah/Hilton Head International Airport
GA,Georgia,Valdosta,VLD,Valdosta Regional Airport
HI,Hawaii,"Hilo, Hawaii",ITO,Hilo International Airport
HI,Hawaii,"Honolulu, Oahu",HNL,Daniel K. Inouye International Airport
HI,Hawaii,"Kahului, Maui",OGG,Kahului Airport
HI,Hawaii,"Kailua-Kona, Hawaii",KOA,Ellison Onizuka Kona International Airport at Keahole
HI,Hawaii,"Kaunakakai, Molokai",MKK,Molokai Airport (Hoolehua Airport)
HI,Hawaii,"Lanai City, Lanai",LNY,Lanai Airport
HI,Hawaii,"Lihue, Kauai",LIH,Lihue Airport
ID,Idaho,Boise,BOI,Boise Airport (Boise Air Terminal) (Gowen Field)
ID,Idaho,Hailey / Sun Valley,SUN,Friedman Memorial Airport
ID,Idaho,Idaho Falls,IDA,Idaho Falls Regional Airport (Fanning Field)
ID,Idaho,Lewiston,LWS,Lewiston–Nez Perce County Airport
ID,Idaho,Pocatello,PIH,Pocatello Regional Airport
ID,Idaho,Twin Falls,TWF,Magic Valley Regional Airport (Joslin Field)
IL,Illinois,Belleville,BLV,MidAmerica St. Louis Airport / Scott Air Force Base
IL,Illinois,Bloomington / Normal,BMI,Central Illinois Regional Airport at Bloomington-Normal
IL,Illinois,Champaign / Urbana / Savoy,CMI,University of Illinois - Willard Airport
IL,Illinois,Chicago,MDW,Chicago Midway International Airport
IL,Illinois,Chicago,ORD,Chicago O'Hare International Airport
IL,Illinois,Marion,MWA,Veterans Airport of Southern Illinois (Williamson County Regional Airport)
IL,Illinois,Moline,MLI,Quad City International Airport
IL,Illinois,Peoria,PIA,General Downing-Peoria International Airport
IL,Illinois,Quincy,UIN,Quincy Regional Airport (Baldwin Field)
IL,Illinois,Rockford,RFD,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford)
IL,Illinois,Springfield,SPI,Abraham Lincoln Capital Airport
IN,Indiana,Evansville,EVV,Evansville Regional Airport
IN,Indiana,Fort Wayne,FWA,Fort Wayne International Airport
